Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,32.320000,32.990002,32.320000,32.779999,32.675285,1395200
2019-06-12,32.759998,33.099998,32.610001,33.060001,32.954391,1195900
2019-06-13,33.139999,33.230000,32.840000,32.950001,32.844746,1196600
2019-06-14,32.759998,32.919998,32.459999,32.619999,32.515797,1074400
2019-06-17,32.700001,33.369999,32.369999,33.369999,33.263401,1555400
2019-06-18,33.549999,34.220001,33.549999,33.680000,33.572414,814500
2019-06-19,33.730000,34.049999,33.619999,33.750000,33.642189,2356600
2019-06-20,34.250000,34.279999,33.580002,33.770000,33.662125,1504100
2019-06-21,33.650002,34.090000,33.380001,33.759998,33.652153,2045100
2019-06-24,33.830002,33.919998,33.320000,33.410000,33.303272,1433100
2019-06-25,33.430000,33.470001,32.139999,32.220001,32.117077,1957000
2019-06-26,32.209999,32.349998,31.540001,31.650000,31.548895,2207600
2019-06-27,31.639999,32.950001,31.639999,32.849998,32.745064,1976000
2019-06-28,32.779999,32.930000,32.349998,32.619999,32.515797,16609100
2019-07-01,33.000000,33.919998,32.730000,33.790001,33.682060,2278600
2019-07-02,33.759998,34.040001,33.470001,34.029999,33.921295,2160900
2019-07-03,34.130001,34.259998,33.889999,34.189999,34.080780,765000
2019-07-05,34.040001,34.680000,33.930000,34.680000,34.569218,1457200
2019-07-08,34.570000,34.770000,34.500000,34.689999,34.579185,1330100
2019-07-09,34.459999,34.709999,34.320000,34.689999,34.629097,1277300
2019-07-10,34.750000,34.930000,34.189999,34.490002,34.429451,1447500
2019-07-11,34.500000,34.889999,34.340000,34.880001,34.818768,1210600
2019-07-12,34.970001,36.000000,34.880001,35.500000,35.437675,2228500
2019-07-15,35.610001,35.750000,34.930000,35.070000,35.008430,1444400
2019-07-16,35.110001,35.599998,34.950001,35.450001,35.387764,888000
2019-07-17,35.320000,35.430000,34.830002,35.080002,35.018417,1773100
2019-07-18,34.990002,35.160000,34.520000,34.750000,34.688992,828500
2019-07-19,34.889999,35.150002,34.650002,34.650002,34.589169,926200
2019-07-22,34.860001,35.259998,34.750000,34.950001,34.888641,1308800
2019-07-23,35.000000,35.139999,33.840000,34.430000,34.369556,1392100
2019-07-24,34.250000,34.700001,34.189999,34.549999,34.489342,1073200
2019-07-25,34.619999,34.910000,34.599998,34.700001,34.639080,774600
2019-07-26,34.869999,35.619999,34.740002,35.459999,35.397747,981900
2019-07-29,35.459999,35.700001,35.180000,35.509998,35.447659,1407700
2019-07-30,35.400002,36.090000,35.380001,36.070000,36.006676,993400
2019-07-31,36.070000,36.250000,35.419998,35.680000,35.617359,1412800
2019-08-01,35.799999,36.220001,35.389999,35.570000,35.507553,1493900
2019-08-02,35.250000,35.790001,34.610001,35.730000,35.667271,1413400
2019-08-05,35.150002,35.430000,34.730000,35.270000,35.208080,1474400
2019-08-06,35.450001,35.610001,34.860001,35.580002,35.517536,2130700
2019-08-07,34.709999,34.709999,28.610001,31.250000,31.195137,9402400
2019-08-08,31.040001,31.200001,29.850000,30.469999,30.416506,4594800
2019-08-09,30.379999,30.510000,28.549999,28.580000,28.529825,3818300
2019-08-12,28.389999,28.790001,28.010000,28.400000,28.350142,2261500
2019-08-13,28.400000,29.160000,28.170000,28.799999,28.749437,2201400
2019-08-14,28.410000,28.490000,27.379999,27.750000,27.701283,4025600
2019-08-15,28.000000,28.180000,27.680000,27.950001,27.900932,1911000
2019-08-16,28.000000,28.299999,27.959999,28.170000,28.120544,1716000
2019-08-19,28.350000,28.990000,28.350000,28.469999,28.420017,1219800
2019-08-20,28.309999,28.600000,28.200001,28.459999,28.410034,842900
2019-08-21,28.600000,28.930000,28.450001,28.660000,28.609684,880800
2019-08-22,28.799999,29.129999,28.480000,29.049999,28.998999,707900
2019-08-23,28.980000,29.389999,28.510000,28.580000,28.529825,1263700
2019-08-26,28.950001,29.500000,28.719999,29.420000,29.368351,1964000
2019-08-27,29.440001,29.700001,28.559999,28.580000,28.529825,792800
2019-08-28,28.570000,29.049999,28.270000,28.799999,28.749437,783800
2019-08-29,29.090000,29.430000,29.010000,29.190001,29.138754,809300
2019-08-30,29.299999,29.350000,28.799999,29.200001,29.148737,1476700
2019-09-03,29.000000,29.160000,28.520000,28.600000,28.549789,958400
2019-09-04,28.940001,29.760000,28.860001,29.700001,29.647860,1100400
2019-09-05,29.840000,30.469999,29.260000,30.450001,30.396544,2555400
2019-09-06,30.469999,30.830000,30.270000,30.350000,30.296719,1024200
2019-09-09,30.500000,30.700001,30.129999,30.660000,30.606173,945200
2019-09-10,30.620001,30.709999,29.990000,30.180000,30.127016,1201400
2019-09-11,30.350000,30.700001,30.100000,30.670000,30.616156,1390900
2019-09-12,30.840000,30.840000,29.850000,29.980000,29.927366,1983500
2019-09-13,30.090000,30.230000,29.480000,29.570000,29.518087,1523500
2019-09-16,29.480000,29.740000,29.139999,29.150000,29.098824,3890400
2019-09-17,28.940001,29.549999,28.650000,29.260000,29.208632,1848300
2019-09-18,29.290001,29.370001,28.740000,29.240000,29.188665,1072200
2019-09-19,29.240000,29.280001,28.520000,28.580000,28.529825,1327200
2019-09-20,28.730000,29.240000,28.580000,29.010000,28.959070,2574300
2019-09-23,28.930000,29.680000,28.830000,29.570000,29.518087,1624100
2019-09-24,29.549999,29.799999,29.170000,29.190001,29.138754,2712100
2019-09-25,29.160000,29.639999,29.030001,29.320000,29.268526,1218000
2019-09-26,29.330000,29.530001,28.709999,29.049999,28.998999,1084500
2019-09-27,29.240000,29.430000,28.660000,28.910000,28.859245,1824200
2019-09-30,29.000000,29.080000,28.420000,28.480000,28.430000,1559000
2019-10-01,28.480000,28.680000,28.059999,28.330000,28.330000,2446600
2019-10-02,28.129999,28.820000,28.010000,28.250000,28.250000,2745800
2019-10-03,28.209999,28.209999,27.350000,28.010000,28.010000,2600400
2019-10-04,28.260000,29.250000,27.930000,29.010000,29.010000,1262000
2019-10-07,28.900000,29.320000,28.760000,29.030001,29.030001,1055200
2019-10-08,28.799999,28.840000,28.389999,28.400000,28.400000,845500
2019-10-09,28.410000,28.549999,28.049999,28.160000,28.160000,558300
2019-10-10,28.070000,28.639999,28.010000,28.139999,28.139999,1154400
2019-10-11,28.480000,28.940001,28.309999,28.629999,28.629999,1432300
2019-10-14,28.559999,28.770000,28.350000,28.530001,28.530001,1153300
2019-10-15,28.610001,28.809999,28.389999,28.690001,28.690001,1268600
2019-10-16,28.650000,28.870001,28.469999,28.690001,28.690001,2361200
2019-10-17,28.850000,29.590000,28.719999,29.549999,29.549999,1501900
2019-10-18,29.389999,29.780001,29.110001,29.719999,29.719999,1813700
2019-10-21,29.870001,29.950001,29.400000,29.700001,29.700001,1717300
2019-10-22,29.700001,30.260000,29.580000,30.150000,30.150000,1305400
2019-10-23,30.150000,30.780001,30.150000,30.559999,30.559999,2130300
2019-10-24,30.600000,30.950001,30.280001,30.889999,30.889999,1341800
2019-10-25,31.000000,31.549999,30.990000,31.180000,31.180000,1687000
2019-10-28,31.230000,31.930000,31.180000,31.559999,31.559999,1718500
2019-10-29,31.530001,31.840000,31.469999,31.540001,31.540001,1125300
2019-10-30,31.400000,31.660000,30.920000,31.340000,31.340000,4306800
2019-10-31,31.299999,31.360001,30.450001,30.900000,30.900000,1304700
2019-11-01,31.049999,31.360001,30.879999,31.139999,31.139999,1669100
2019-11-04,31.320000,31.910000,31.129999,31.840000,31.840000,1909400
2019-11-05,31.900000,32.119999,31.570000,31.920000,31.920000,2714600
2019-11-06,31.760000,31.760000,28.610001,30.690001,30.690001,5523200
2019-11-07,31.200001,31.440001,29.930000,30.209999,30.209999,1828600
2019-11-08,30.200001,30.980000,30.080000,30.969999,30.969999,880900
2019-11-11,30.790001,31.410000,30.629999,31.190001,31.190001,717900
2019-11-12,31.180000,31.250000,30.650000,30.809999,30.809999,889000
2019-11-13,30.580000,31.049999,30.450001,30.930000,30.930000,929100
2019-11-14,30.780001,31.170000,30.629999,31.160000,31.160000,933400
2019-11-15,31.340000,31.639999,31.180000,31.590000,31.590000,633900
2019-11-18,31.459999,31.750000,31.180000,31.730000,31.730000,788500
2019-11-19,31.719999,31.940001,31.299999,31.780001,31.780001,2009000
2019-11-20,31.580000,31.870001,30.780001,31.230000,31.230000,1981300
2019-11-21,31.219999,31.299999,30.780001,30.889999,30.889999,1581000
2019-11-22,31.070000,31.420000,30.580000,31.240000,31.240000,859400
2019-11-25,31.400000,31.990000,31.160000,31.740000,31.740000,1361300
2019-11-26,31.770000,32.189999,31.570000,32.169998,32.169998,1036600
2019-11-27,32.320000,32.459999,32.049999,32.169998,32.169998,1138400
2019-11-29,32.180000,32.389999,32.070000,32.250000,32.250000,488400
2019-12-02,32.250000,32.410000,31.950001,32.299999,32.299999,1180500
2019-12-03,31.959999,32.009998,31.090000,31.230000,31.230000,1403200
