Date,Open,High,Low,Close,Adj Close,Volume
1/2/19,33.490002,34.450001,33.419998,34.369999,33.864338,16970400
1/3/19,34.330002,35.330002,34.130001,34.639999,34.130367,28750400
1/4/19,35.029999,35.84,34.860001,35.810001,35.283157,22843800
1/7/19,35.630001,35.91,35.27,35.43,34.908745,26180800
1/8/19,35.66,35.889999,35.360001,35.720001,35.194477,20440700
1/9/19,35.869999,36.119999,35.509998,36.060001,35.529476,16045100
1/10/19,35.91,36,35.5,35.82,35.293007,16669600
1/11/19,35.610001,35.740002,35.310001,35.630001,35.105801,19161600
1/14/19,35.41,35.990002,35.349998,35.77,35.243744,16609400
1/15/19,35.720001,36,35.57,35.830002,35.30286,13450000
1/16/19,36.009998,36.32,35.880001,35.900002,35.37183,20838500
1/17/19,35.799999,36.200001,35.740002,35.91,35.381683,25457200
1/18/19,36.130001,36.279999,35.529999,36.209999,35.677269,22670000
1/22/19,36.049999,36.09,34.830002,34.970001,34.455513,32850900
1/23/19,36.09,37.419998,35.959999,36.889999,36.347263,36648300
1/24/19,36.849998,36.880001,35.439999,36.240002,35.706829,40436900
1/25/19,36.630001,36.830002,35.560001,35.779999,35.253593,25199500
1/28/19,35.48,35.529999,34.669998,35.369999,34.849625,26457000
1/29/19,35.380001,36.330002,35.380001,36.080002,35.549183,19312300
1/30/19,36.029999,36.029999,35.25,35.43,34.908745,22674000
1/31/19,35.880001,36.810001,35.77,36.57,36.031971,31274500
2/1/19,36.709999,36.880001,36.48,36.790001,36.248737,18712300
2/4/19,36.740002,36.869999,36.27,36.77,36.229031,22890300
2/5/19,36.869999,37.27,36.57,37.150002,36.603439,24378500
2/6/19,37.139999,37.290001,36.790001,37.169998,36.623146,20357300
2/7/19,37.16,37.709999,37.09,37.68,37.125641,22902300
2/8/19,37.5,37.759998,36.990002,37.599998,37.046818,18071000
2/11/19,37.700001,37.740002,36.900002,37,36.455647,14761400
2/12/19,37.310001,37.450001,37.040001,37.240002,36.692116,14626400
2/13/19,37.240002,37.450001,36.790001,37.029999,36.485203,14326400
2/14/19,36.959999,37.459999,36.75,37.259998,36.711819,16008400
2/15/19,37.599998,37.779999,37.150002,37.77,37.214317,15877100
2/19/19,37.75,37.939999,37.48,37.549999,36.997555,12853500
2/20/19,37.700001,37.919998,37.529999,37.790001,37.234024,14970400
2/21/19,37.610001,38.470001,37.439999,38.470001,37.904022,22082200
2/22/19,38.48,38.740002,38.41,38.610001,38.041958,20376900
2/25/19,38.66,38.799999,38.310001,38.57,38.002548,16212000
2/26/19,38.630001,38.860001,38.41,38.799999,38.229164,18127700
2/27/19,38.639999,38.720001,38.389999,38.529999,37.963139,17534900
2/28/19,38.549999,38.900002,38.52,38.669998,38.10107,18315300
3/1/19,38.849998,39.509998,38.82,39.099998,38.524746,24117200
3/4/19,39.25,39.650002,38.380001,38.73,38.160198,15970400
3/5/19,38.790001,38.990002,38.549999,38.720001,38.150341,14946000
3/6/19,38.880001,38.950001,38.450001,38.610001,38.041958,11051900
3/7/19,38.57,38.66,38.139999,38.380001,37.815346,14176700
3/8/19,38.220001,38.48,37.889999,38.189999,37.628139,13652900
3/11/19,38.25,39.240002,38.099998,39.169998,38.593719,25653900
3/12/19,39.16,39.73,38.970001,39.490002,38.909016,21376100
3/13/19,39.689999,39.860001,39.369999,39.560001,38.977982,21550400
3/14/19,39.470001,39.950001,39.369999,39.869999,39.283424,16567600
3/15/19,39.91,40.52,39.540001,40.470001,39.874592,66922700
3/18/19,40.23,40.450001,39.880001,39.919998,39.332684,21799700
3/19/19,39.98,40.349998,39.700001,39.779999,39.194744,16787000
3/20/19,39.759998,39.799999,38.900002,39.470001,38.889309,23337900
3/21/19,39.450001,40.169998,39.25,40.049999,39.460773,17684000
3/22/19,39.939999,39.970001,39.349998,39.459999,38.879452,17030100
3/25/19,39.48,39.52,38.939999,39.18,38.603577,15844100
3/26/19,39.400002,39.720001,39.209999,39.630001,39.046955,11188300
3/27/19,39.68,40.389999,39.68,40.209999,39.61842,18266600
3/28/19,40.209999,40.5,40.119999,40.419998,39.825333,10454400
3/29/19,40.200001,40.34,39.59,39.98,39.391804,21135700
4/1/19,40.34,40.389999,39.970001,40.310001,39.716953,14326000
